step,track,model,dataset,Accuracy,F1,Memory in Mb,Time in s
15402,Binary classification,Logistic regression,Elec2,0.8465134398130113,0.8201734367868553,0.0053730010986328125,26.965032
16308,Binary classification,Logistic regression,Elec2,0.8412435614422369,0.8128388635870744,0.0053730010986328125,29.764488
17214,Binary classification,Logistic regression,Elec2,0.8397815731381434,0.8070519098922625,0.0053730010986328125,32.599319
18120,Binary classification,Logistic regression,Elec2,0.8419977924944813,0.8099316205271195,0.0053730010986328125,35.470184
19026,Binary classification,Logistic regression,Elec2,0.8451592557552823,0.8116368286445013,0.0053730010986328125,38.666515000000004
19932,Binary classification,Logistic regression,Elec2,0.8428657435279951,0.8098129706096673,0.0053730010986328125,42.041464000000005
20838,Binary classification,Logistic regression,Elec2,0.8394279681351378,0.805736182071528,0.0053730010986328125,45.594399
21744,Binary classification,Logistic regression,Elec2,0.8403237674760854,0.8037087290818633,0.0053730010986328125,49.288421
22650,Binary classification,Logistic regression,Elec2,0.8395143487858719,0.800963697092482,0.0053730010986328125,53.042148
23556,Binary classification,Logistic regression,Elec2,0.8357530989981321,0.7954965907288969,0.0053730010986328125,56.828939
24462,Binary classification,Logistic regression,Elec2,0.8330880549423596,0.7914815382258312,0.0053730010986328125,60.648762
25368,Binary classification,Logistic regression,Elec2,0.8298643960895616,0.787326303340889,0.0053730010986328125,64.538442
26274,Binary classification,Logistic regression,Elec2,0.8304788003349318,0.7877834953306653,0.0053730010986328125,68.76745700000001
27180,Binary classification,Logistic regression,Elec2,0.8309050772626931,0.789000091818933,0.0053730010986328125,73.029621
28086,Binary classification,Logistic regression,Elec2,0.8277433596809799,0.7844028520499109,0.0053730010986328125,77.56826500000001
28992,Binary classification,Logistic regression,Elec2,0.8270557395143487,0.782037906451052,0.0053730010986328125,82.30771700000001
29898,Binary classification,Logistic regression,Elec2,0.8260753227640645,0.7809050307575629,0.0053730010986328125,87.08055300000001
30804,Binary classification,Logistic regression,Elec2,0.8259316971821842,0.7798127463863337,0.0053730010986328125,91.886583
31710,Binary classification,Logistic regression,Elec2,0.8213181961526332,0.7731603811353991,0.0053730010986328125,96.725835
32616,Binary classification,Logistic regression,Elec2,0.8188925680647535,0.7700393195001364,0.0053730010986328125,101.831452
33522,Binary classification,Logistic regression,Elec2,0.8169261977208997,0.7682314286793308,0.0053730010986328125,107.153351
34428,Binary classification,Logistic regression,Elec2,0.8144243057976066,0.764807656911467,0.0053730010986328125,112.823146
35334,Binary classification,Logistic regression,Elec2,0.8142299201901851,0.7628098576280986,0.0053730010986328125,118.703237
36240,Binary classification,Logistic regression,Elec2,0.8155077262693157,0.7630254483589707,0.0053730010986328125,124.616656
37146,Binary classification,Logistic regression,Elec2,0.8151887148010553,0.7614745839268963,0.0053730010986328125,130.56315700000002
38052,Binary classification,Logistic regression,Elec2,0.8151739724587407,0.7609855564995752,0.0053730010986328125,136.54287800000003
38958,Binary classification,Logistic regression,Elec2,0.8162636685661482,0.7631526702402223,0.0053730010986328125,142.55584900000002
39864,Binary classification,Logistic regression,Elec2,0.8169526389725065,0.7662192035369877,0.0053730010986328125,148.805786
